Date,Close/Last,Volume,Open,High,Low,Company
09/08/2025,$237.88,48999500,$239.30,$240.15,$236.34,Apple
09/05/2025,$239.69,54870400,$239.995,$241.32,$238.4901,Apple
09/04/2025,$239.78,47549430,$238.45,$239.8999,$236.74,Apple
09/03/2025,$238.47,66427840,$237.21,$238.85,$234.36,Apple
09/02/2025,$229.72,44075640,$229.25,$230.85,$226.97,Apple
08/29/2025,$232.14,39418440,$232.51,$233.38,$231.37,Apple
08/28/2025,$232.56,38074700,$230.82,$233.41,$229.335,Apple
08/27/2025,$230.49,31259510,$228.61,$230.90,$228.26,Apple
08/26/2025,$229.31,54575110,$226.87,$229.49,$224.69,Apple
08/25/2025,$227.16,30983130,$226.48,$229.30,$226.23,Apple
