X;age;income;savings;education
1;20-40;1000;800;High School
2;20-40;2000;500;None
3;60-80;4000;3000;University
4;40-60;5000;12500;University
5;60-80;4000;10000;High School
6;40-60;2000;1400;High School
7;20-40;4000;6000;University
8;40-60;5000;8000;University
9;40-60;4000;4000;High School
10;40-60;2000;2000;High School
11;40-60;4000;7500;University
12;40-60;5000;14000;University
13;40-60;4000;12000;High School
14;20-40;2000;3500;High School
15;20-40;4000;5600;High School
16;40-60;5000;18000;University
17;40-60;6000;14000;University
18;80-100;4000;3800;High School
19;40-60;4000;5000;High School
20;60-80;5000;10000;High School
21;40-60;6000;15000;University
22;40-60;7000;34000;University
23;20-40;2000;2400;None
24;20-40;1000;400;None
25;40-60;8000;30000;High School
26;40-60;3000;4000;High School
27;40-60;4000;5000;High School
28;40-60;4000;2000;University
29;40-60;4000;8000;University
30;20-40;6000;15500;University
